sample_name,ct,sample_type
CC_66_RNA,16.35678673,sample
CC_67_RNA,19.97303391,sample
CC_67_RNA,19.8778019,sample
CC_67_RNA,20.0042057,sample
CC_68_RNA,20.07256126,sample
CC_68_RNA,20.01412201,sample
CC_68_RNA,17.21995354,sample
CC_69_RNA,17.67963982,sample
CC_69_RNA,17.40673447,sample
CC_69_RNA,17.98898697,sample
CC_70_RNA,18.85979652,sample
CC_70_RNA,18.63853645,sample
CC_70_RNA,18.84498215,sample
CC_71_RNA,18.24316216,sample
CC_71_RNA,17.90867615,sample
CC_71_RNA,18.23711586,sample
CC_72_RNA,19.99128914,sample
CC_72_RNA,19.9168644,sample
CC_72_RNA,19.92877769,sample
CC_74_RNA,19.62907028,sample
CC_74_RNA,19.44685173,sample
CC_74_RNA,19.30791283,sample
CC_75_RNA,16.66500092,sample
CC_75_RNA,16.98912048,sample
CC_75_RNA,17.87068558,sample
CC_77_RNA,18.88492393,sample
CC_77_RNA,18.5807457,sample
CC_77_RNA,15.25481701,sample
CC_78_RNA,19.13809013,sample
CC_78_RNA,18.86350441,sample
CC_78_RNA,18.89625549,sample
CC_79_RNA,17.60163498,sample
CC_79_RNA,18.32440758,sample
CC_79_RNA,14.74398518,sample
CC_80_RNA,18.674263,sample
CC_80_RNA,18.47061729,sample
CC_80_RNA,18.32618332,sample
CC_87_RNA,19.72865868,sample
CC_87_RNA,19.45882988,sample
CC_87_RNA,19.54068184,sample
CC_88_RNA,19.24201965,sample
CC_88_RNA,19.05772018,sample
CC_88_RNA,18.97522545,sample
CC_89_RNA,19.02850533,sample
CC_89_RNA,18.84583855,sample
CC_89_RNA,18.83362007,sample
CC_90_RNA,20.32946205,sample
CC_90_RNA,19.86185074,sample
CC_90_RNA,20.21297073,sample
CC_91_RNA,18.78031349,sample
CC_91_RNA,18.48332787,sample
CC_91_RNA,18.7097187,sample
CC_92_RNA,17.33589172,sample
CC_92_RNA,16.97648239,sample
CC_92_RNA,12.73348141,sample
MI_10_RNA,15.71040344,sample
MI_10_RNA,15.59934616,sample
MI_10_RNA,15.53823185,sample
MI_11_RNA,17.34796906,sample
MI_11_RNA,17.48716354,sample
MI_11_RNA,17.50790405,sample
MI_13_RNA,17.76195145,sample
MI_13_RNA,17.66898727,sample
MI_13_RNA,17.94397163,sample
MI_14_RNA,17.85404968,sample
MI_14_RNA,17.76989555,sample
MI_14_RNA,17.8434906,sample
MI_15_RNA,16.80418587,sample
MI_15_RNA,16.88707352,sample
MI_15_RNA,16.84793854,sample
MI_16_RNA,18.98080444,sample
MI_16_RNA,18.97142029,sample
MI_16_RNA,18.93080521,sample
MI_17_RNA,18.65904999,sample
MI_17_RNA,18.21657753,sample
MI_17_RNA,18.29630661,sample
MI_18_RNA,21.04384041,sample
MI_18_RNA,19.37729836,sample
MI_18_RNA,19.34202194,sample
MI_19_RNA,23.15323639,sample
MI_19_RNA,22.80623817,sample
MI_19_RNA,22.64923096,sample
MI_20_RNA,19.71052933,sample
MI_20_RNA,18.34346199,sample
MI_20_RNA,18.43072128,sample
MI_21_RNA,18.77261543,sample
MI_21_RNA,18.9334259,sample
MI_21_RNA,18.75241661,sample
MI_22_RNA,18.44926834,sample
MI_22_RNA,16.89218521,sample
MI_22_RNA,16.74130821,sample
MI_24_RNA,16.04111099,sample
MI_24_RNA,16.16884422,sample
MI_24_RNA,15.85240555,sample
MI_25_RNA,16.74044609,sample
MI_25_RNA,16.60531998,sample
MI_25_RNA,16.60227776,sample
MI_26_RNA,16.95014763,sample
MI_26_RNA,16.78831482,sample
MI_26_RNA,16.79604149,sample
MI_27_RNA,17.8014698,sample
MI_27_RNA,17.77596855,sample
MI_27_RNA,17.7561264,sample
MI_28_RNA,17.59492111,sample
MI_28_RNA,17.62426567,sample
MI_28_RNA,17.61355209,sample
MI_29_RNA,17.58120918,sample
MI_29_RNA,17.45059776,sample
MI_29_RNA,17.28542709,sample
MI_30_RNA,17.93535805,sample
MI_30_RNA,17.85631943,sample
MI_30_RNA,17.8757782,sample
MI_31_RNA,16.98882294,sample
MI_31_RNA,17.03636742,sample
MI_31_RNA,16.8474102,sample
MI_32_RNA,16.60394096,sample
MI_32_RNA,16.49041748,sample
MI_32_RNA,16.48460197,sample
MI_33_RNA,16.40753365,sample
MI_33_RNA,16.42672157,sample
MI_33_RNA,16.37397003,sample
MI_34_RNA,16.72041893,sample
MI_34_RNA,16.88290977,sample
MI_34_RNA,16.71475983,sample
MI_35_RNA,17.57405281,sample
MI_35_RNA,17.28386116,sample
MI_35_RNA,17.23990822,sample
MI_36_RNA,17.18943596,sample
MI_36_RNA,17.09295845,sample
MI_36_RNA,17.15816116,sample
MI_37_RNA,17.02881432,sample
MI_37_RNA,16.75985718,sample
MI_37_RNA,16.84687042,sample
MI_39_RNA,17.25762939,sample
MI_39_RNA,17.19501686,sample
MI_39_RNA,17.26833916,sample
MI_48_RNA,19.51712036,sample
MI_48_RNA,18.77324295,sample
MI_48_RNA,18.7965889,sample
MI_49_RNA,15.49510956,sample
MI_49_RNA,16.81769371,sample
MI_49_RNA,15.22333527,sample
MI_50_RNA,15.16167545,sample
MI_50_RNA,15.63073826,sample
MI_50_RNA,15.48868656,sample
MI_51_RNA,16.60341072,sample
MI_51_RNA,17.74501801,sample
MI_51_RNA,17.74494553,sample
MI_52_RNA,18.99682617,sample
MI_52_RNA,18.54108047,sample
MI_52_RNA,18.89016533,sample
MI_53_RNA,19.3963604,sample
MI_53_RNA,18.91433334,sample
MI_53_RNA,19.01556969,sample
MI_54_RNA,14.23423481,sample
MI_54_RNA,14.23423481,sample
MI_54_RNA,14.23423481,sample
MI_55_RNA,17.44457245,sample
MI_55_RNA,15.13613319,sample
MI_55_RNA,17.61203575,sample
MI_56_RNA,15.13826752,sample
MI_56_RNA,13.68682384,sample
MI_56_RNA,14.45495701,sample
MI_57_RNA,17.63843346,sample
MI_57_RNA,14.70289898,sample
MI_57_RNA,14.212677,sample
MI_58_RNA,19.81656265,sample
MI_58_RNA,18.78941345,sample
MI_58_RNA,18.32274055,sample
MI_59_RNA,19.4654789,sample
MI_59_RNA,16.27611351,sample
MI_59_RNA,15.75445366,sample
MI_60_RNA,17.81010628,sample
MI_60_RNA,17.87003326,sample
MI_60_RNA,17.71221924,sample
MI_61_RNA,18.73163223,sample
MI_61_RNA,18.54584885,sample
MI_61_RNA,18.6414814,sample
MI_61_RNA,19.9457531,sample
MI_61_RNA,19.83269501,sample
MI_61_RNA,19.95421791,sample
MI_63_RNA,19.74810982,sample
MI_63_RNA,19.62699318,sample
MI_63_RNA,19.75654221,sample
MI_64_RNA,20.24556732,sample
MI_64_RNA,19.83999252,sample
MI_64_RNA,19.93462753,sample
MI_66_RNA,14.57641315,sample
MI_66_RNA,14.77103138,sample
MI_66_RNA,15.80421066,sample
MI_67_RNA,18.76811218,sample
MI_67_RNA,18.80557251,sample
MI_67_RNA,18.99533081,sample
MI_68_RNA,19.69356155,sample
MI_68_RNA,17.14468575,sample
MI_68_RNA,16.51460838,sample
MI_69_RNA,17.75377083,sample
MI_69_RNA,17.81428909,sample
MI_69_RNA,13.78811073,sample
MI_7_RNA,18.00784683,sample
MI_7_RNA,18.22913742,sample
MI_7_RNA,17.94086075,sample
MI_70_RNA,19.13918304,sample
MI_70_RNA,18.93848228,sample
MI_70_RNA,19.12567329,sample
MI_71_RNA,18.68744469,sample
MI_71_RNA,18.33611488,sample
MI_71_RNA,18.48177719,sample
MI_72_RNA,19.56733513,sample
MI_72_RNA,19.45212936,sample
MI_72_RNA,19.48483086,sample
MI_74_RNA,18.78315735,sample
MI_74_RNA,18.78427315,sample
MI_74_RNA,18.93242645,sample
MI_75_RNA,15.95845604,sample
MI_75_RNA,15.9875679,sample
MI_75_RNA,15.78917885,sample
MI_77_RNA,19.25233841,sample
MI_77_RNA,19.08997726,sample
MI_77_RNA,19.28693771,sample
MI_78_RNA,19.05410957,sample
MI_78_RNA,18.77993393,sample
MI_78_RNA,18.92206573,sample
MI_79_RNA,19.99088287,sample
MI_79_RNA,19.29668427,sample
MI_79_RNA,15.86891937,sample
MI_8_RNA,17.71239662,sample
MI_8_RNA,17.81298447,sample
MI_8_RNA,17.69529915,sample
MI_80_RNA,18.88982201,sample
MI_80_RNA,18.68496513,sample
MI_80_RNA,18.69456482,sample
MI_87_RNA,19.7871685,sample
MI_87_RNA,19.70753288,sample
MI_87_RNA,19.67391205,sample
MI_88_RNA,19.24311829,sample
MI_88_RNA,19.09045029,sample
MI_88_RNA,18.93665314,sample
MI_89_RNA,19.30353546,sample
MI_89_RNA,19.00626183,sample
MI_89_RNA,19.01660347,sample
MI_9_RNA,17.36588669,sample
MI_9_RNA,17.499506,sample
MI_9_RNA,17.50335884,sample
MI_90_RNA,20.4054718,sample
MI_90_RNA,20.10224342,sample
MI_90_RNA,20.14098167,sample
MI_91_RNA,19.16019058,sample
MI_91_RNA,19.00572395,sample
MI_91_RNA,18.97462845,sample
MI_92_RNA,17.27550125,sample
MI_92_RNA,17.02024269,sample
MI_92_RNA,17.70227051,sample
NO_10_RNA,15.12359333,sample
NO_10_RNA,15.2684021,sample
NO_10_RNA,15.32299995,sample
NO_11_RNA,19.12493706,sample
NO_11_RNA,18.19684982,sample
NO_11_RNA,18.22581673,sample
NO_12_RNA,18.65701103,sample
NO_12_RNA,18.27960396,sample
NO_12_RNA,18.23390388,sample
NO_13_RNA,18.73234367,sample
NO_13_RNA,18.35684395,sample
NO_13_RNA,18.44526863,sample
NO_14_RNA,17.5267601,sample
NO_14_RNA,17.5110817,sample
NO_14_RNA,17.56515503,sample
NO_15_RNA,17.33098793,sample
NO_15_RNA,17.41316414,sample
NO_15_RNA,17.53610802,sample
NO_16_RNA,19.27309036,sample
NO_16_RNA,19.27807999,sample
NO_16_RNA,19.17424202,sample
NO_17_RNA,19.65126038,sample
NO_17_RNA,18.96815491,sample
NO_17_RNA,18.93066978,sample
NO_18_RNA,19.50012779,sample
NO_18_RNA,18.68895721,sample
NO_18_RNA,18.595644,sample
NO_19_RNA,19.34932899,sample
NO_19_RNA,18.96676445,sample
NO_19_RNA,18.8350296,sample
NO_20_RNA,18.97955132,sample
NO_20_RNA,18.89849663,sample
NO_20_RNA,18.79845047,sample
NO_21_RNA,19.59940338,sample
NO_21_RNA,18.84065437,sample
NO_21_RNA,18.5139637,sample
NO_22_RNA,19.13237572,sample
NO_22_RNA,19.33065224,sample
NO_22_RNA,16.6941185,sample
NO_24_RNA,15.9907608,sample
NO_24_RNA,16.04588318,sample
NO_24_RNA,15.82770729,sample
NO_25_RNA,16.71422958,sample
NO_25_RNA,16.62161255,sample
NO_25_RNA,16.53415108,sample
NO_26_RNA,16.70121765,sample
NO_26_RNA,16.61139297,sample
NO_26_RNA,16.65595055,sample
NO_27_RNA,17.09877968,sample
NO_27_RNA,17.07749557,sample
NO_27_RNA,17.10294914,sample
NO_28_RNA,17.21908379,sample
NO_28_RNA,17.4648838,sample
NO_28_RNA,17.48121452,sample
NO_29_RNA,17.89175987,sample
NO_29_RNA,17.66081429,sample
NO_29_RNA,17.58664131,sample
NO_30_RNA,18.26901436,sample
NO_30_RNA,18.34547806,sample
NO_30_RNA,18.39286995,sample
NO_31_RNA,17.29935837,sample
NO_31_RNA,17.39061737,sample
NO_31_RNA,17.17514992,sample
NO_32_RNA,16.89977264,sample
NO_32_RNA,16.66892433,sample
NO_32_RNA,16.77879906,sample
NO_33_RNA,16.40827751,sample
NO_33_RNA,16.3504715,sample
NO_33_RNA,16.37102127,sample
NO_34_RNA,16.7513504,sample
NO_34_RNA,16.75485039,sample
NO_34_RNA,16.83847046,sample
NO_35_RNA,17.53890038,sample
NO_35_RNA,17.48181725,sample
NO_35_RNA,17.33492279,sample
NO_36_RNA,17.57538795,sample
NO_36_RNA,17.56402397,sample
NO_36_RNA,17.65394592,sample
NO_37_RNA,17.22920227,sample
NO_37_RNA,16.98160934,sample
NO_37_RNA,16.98729706,sample
NO_38_RNA,16.75880241,sample
NO_38_RNA,16.91714096,sample
NO_38_RNA,16.90530586,sample
NO_38_RNA,16.87156105,sample
NO_38_RNA,16.94675827,sample
NO_38_RNA,16.88094139,sample
NO_39_RNA,16.96074486,sample
NO_39_RNA,17.01281738,sample
NO_39_RNA,16.96715736,sample
NO_48_RNA,19.40692711,sample
NO_48_RNA,19.16374016,sample
NO_48_RNA,19.0135231,sample
NO_49_RNA,15.75432396,sample
NO_49_RNA,15.96596146,sample
NO_49_RNA,15.54490566,sample
NO_50_RNA,14.32736206,sample
NO_50_RNA,15.28166866,sample
NO_50_RNA,15.00004482,sample
NO_51_RNA,17.90162468,sample
NO_51_RNA,18.14121628,sample
NO_51_RNA,20.2267952,sample
NO_52_RNA,19.47839165,sample
NO_52_RNA,19.02057648,sample
NO_52_RNA,15.94950581,sample
NO_53_RNA,18.71817207,sample
NO_53_RNA,18.14428139,sample
NO_53_RNA,18.3153801,sample
NO_54_RNA,13.4388361,sample
NO_54_RNA,13.4388361,sample
NO_54_RNA,13.4388361,sample
NO_55_RNA,18.1584816,sample
NO_55_RNA,16.34613037,sample
NO_55_RNA,18.29395294,sample
NO_56_RNA,17.49620247,sample
NO_56_RNA,13.21650696,sample
NO_56_RNA,13.58381939,sample
NO_57_RNA,18.28801537,sample
NO_57_RNA,18.33602905,sample
NO_57_RNA,18.48142052,sample
NO_58_RNA,18.91360855,sample
NO_58_RNA,19.0048008,sample
NO_58_RNA,18.45103073,sample
NO_59_RNA,16.12151909,sample
NO_59_RNA,16.59229279,sample
NO_59_RNA,14.86776543,sample
NO_60_RNA,15.58412075,sample
NO_60_RNA,17.97408485,sample
NO_60_RNA,15.23484993,sample
NO_61_RNA,18.88186264,sample
NO_61_RNA,18.2957077,sample
NO_61_RNA,18.42264175,sample
NO_61_RNA,21.41674042,sample
NO_61_RNA,21.02920532,sample
NO_61_RNA,20.98104095,sample
NO_63_RNA,19.74171257,sample
NO_63_RNA,19.429636,sample
NO_63_RNA,19.60367012,sample
NO_64_RNA,17.20120811,sample
NO_64_RNA,19.2741642,sample
NO_64_RNA,19.59469795,sample
NO_66_RNA,Undetermined,sample
NO_66_RNA,12.95258427,sample
NO_66_RNA,14.46277332,sample
NO_67_RNA,14.22422123,sample
NO_67_RNA,18.46548653,sample
NO_67_RNA,12.15721989,sample
NO_68_RNA,17.30943871,sample
NO_68_RNA,19.23890686,sample
NO_68_RNA,15.20122147,sample
NO_69_RNA,14.48941517,sample
NO_69_RNA,17.96851921,sample
NO_69_RNA,13.7413969,sample
NO_70_RNA,19.64666367,sample
NO_70_RNA,19.28404045,sample
NO_70_RNA,19.96933937,sample
NO_71_RNA,18.42321968,sample
NO_71_RNA,18.28240776,sample
NO_71_RNA,13.69213676,sample
NO_72_RNA,19.51088905,sample
NO_72_RNA,19.3474884,sample
NO_72_RNA,19.52269554,sample
NO_74_RNA,16.8860569,sample
NO_74_RNA,19.06908798,sample
NO_74_RNA,18.97672081,sample
NO_75_RNA,6.366957188,sample
NO_75_RNA,15.97351265,sample
NO_75_RNA,5.007362843,sample
NO_77_RNA,19.2794323,sample
NO_77_RNA,19.24095535,sample
NO_77_RNA,16.77898598,sample
NO_78_RNA,18.95201874,sample
NO_78_RNA,19.02129364,sample
NO_78_RNA,18.96787834,sample
NO_79_RNA,17.28342438,sample
NO_79_RNA,19.8226738,sample
NO_79_RNA,16.44339752,sample
NO_80_RNA,18.72207832,sample
NO_80_RNA,18.62012672,sample
NO_80_RNA,18.69968414,sample
NO_87_RNA,19.67799759,sample
NO_87_RNA,19.72763252,sample
NO_87_RNA,19.60414696,sample
NO_88_RNA,19.3264637,sample
NO_88_RNA,19.22742844,sample
NO_88_RNA,19.1282444,sample
NO_89_RNA,19.54385948,sample
NO_89_RNA,19.11624718,sample
NO_89_RNA,19.13104439,sample
NO_90_RNA,20.34083176,sample
NO_90_RNA,20.32992363,sample
NO_90_RNA,20.17292595,sample
NO_91_RNA,19.37216759,sample
NO_91_RNA,19.2212429,sample
NO_91_RNA,16.63811302,sample
NO_92_RNA,18.13142586,sample
NO_92_RNA,17.8747673,sample
NO_92_RNA,18.15173721,sample
NO_12_RNA,18.65701103,sample
NO_12_RNA,18.27960396,sample
NO_12_RNA,18.23390388,sample
